"canonical_variable_name","proposed_taxonomy_name","source_row_count","cluster_families_reported","roles_reported","canonical_definition_master","merge_notes","priority"
"NEW_gross_primary_productivity","gross_primary_productivity","1","drought","outcome","Cropland gross primary productivity indicating drought-induced physiological suppression and reduced biomass production.","Single-source candidate from current batch.","high"
"NEW_land_surface_temp_trend","land_surface_temp_trend","4","drought|groundwater_stress|rainfed_risk","driver","Trend or anomaly in near-surface air/land temperature that increases evapotranspiration demand, moisture stress, and downstream water scarcity risk.","Merged repeated mentions (temperature rise/LST trend) into one canonical concept; keep per-paper context in evidence layer.","high"
"NEW_leaf_area_index","leaf_area_index","1","drought","outcome","Leaf area index as a structural canopy indicator for drought stress detection and productivity decline.","Single-source candidate from current batch.","high"
"NEW_moisture_index","moisture_index","1","drought","mediator","Composite climatic moisture index (for example Thornthwaite-Mather) combining precipitation and PET to represent aridity-humidity conditions.","Single-source candidate from current batch.","medium"
"NEW_rainwater_harvesting_coverage","rainwater_harvesting_coverage","1","drought","context","Coverage or share of watershed/rainwater-harvesting interventions that moderate runoff losses and drought impact.","Single-source candidate from current batch.","medium"
"NEW_soil_moisture_index","soil_moisture_index","4","drought|groundwater_stress|rainfed_risk","mediator","Root-zone or near-surface soil moisture condition mediating meteorological stress into crop and recharge outcomes.","Merged repeated mentions across drought/groundwater/rainfed contexts; keep qualifier/scope in evidence records.","high"
"NEW_solar_induced_fluorescence","solar_induced_fluorescence","1","drought","outcome","Satellite-derived solar-induced fluorescence proxy for photosynthetic activity and drought-related physiological stress.","Single-source candidate from current batch.","medium"
"NEW_surface_water_availability","surface_water_availability","1","drought","mediator","Reservoir/river/lake surface-water availability or storage condition relevant to hydrological drought propagation.","Single-source candidate from current batch.","high"
"NEW_temperature_rise","temperature_rise","1","rainfed_risk","driver","Increase in mean or seasonal temperature used as an exogenous climate stress driver in crop-response pathways.","Potential alias of NEW_land_surface_temp_trend; keep as separate canonical pending alias-table decision.","medium"
"NEW_vegetation_health_index","vegetation_health_index","1","groundwater_stress","mediator","Vegetation greenness/health indicator (for example NDVI-based) linked to moisture and groundwater condition proxies.","Single-source candidate from current batch.","medium"
"NEW_wind_velocity","wind_velocity","1","rainfed_risk","driver","Near-surface wind speed affecting evapotranspiration demand and erosion risk in dryland systems.","Single-source candidate from current batch.","medium"
"NEW_aquifer_resistivity","aquifer_resistivity","1","groundwater_stress","context","Geophysical electrical resistivity indicator of aquifer saturation and subsurface hydrogeological conditions.","Single-source candidate from current batch.","medium"
"NEW_aquifer_thickness","aquifer_thickness","1","groundwater_stress","context","Thickness of weathered/saturated aquifer zone indicating groundwater storage potential.","Single-source candidate from current batch.","high"
"NEW_aquifer_transmissivity","aquifer_transmissivity","1","irrigation_challenges","context","Aquifer transmissivity or related hydraulic property controlling groundwater response to recharge and extraction.","Single-source candidate from current batch.","high"
"NEW_builtup_area","builtup_area","1","irrigation_challenges","driver","Built-up or urbanized land extent affecting infiltration, runoff partitioning, and recharge potential.","Potential overlap with NEW_urban_area_fraction; evaluate in alias pass.","medium"
"NEW_drainage_density","drainage_density","1","groundwater_stress","context","Stream-length density indicating runoff concentration versus infiltration potential for recharge.","Single-source candidate from current batch.","high"
"NEW_gw_storage_anomaly","gw_storage_anomaly","1","groundwater_stress","outcome","Groundwater storage anomaly from gravity/satellite products representing basin-scale depletion or recovery signals.","Single-source candidate from current batch.","high"
"NEW_lineament_density","lineament_density","1","groundwater_stress","context","Lineament density proxy for fractures/secondary permeability controlling groundwater movement in hard-rock settings.","Single-source candidate from current batch.","high"
"NEW_nitrate_groundwater_concentration","nitrate_groundwater_concentration","1","irrigation_challenges","outcome","Groundwater nitrate concentration indicating agrochemical pressure and irrigation-linked water quality degradation.","Single-source candidate from current batch.","high"
"NEW_population_density","population_density","4","groundwater_stress|mixed","driver","Population density or growth pressure driving domestic/agricultural water demand, land conversion, and extraction stress.","Merged repeated demographic pressure mentions into one canonical concept.","high"
"NEW_slope","slope","1","groundwater_stress","context","Terrain slope controlling runoff-infiltration partition and recharge suitability.","Single-source candidate from current batch.","high"
"NEW_soil_texture_permeability","soil_texture_permeability","1","groundwater_stress","context","Soil texture/permeability class governing infiltration, percolation, and recharge behavior.","Single-source candidate from current batch.","high"
"NEW_topographic_wetness_index","topographic_wetness_index","1","groundwater_stress","context","Topographic wetness index proxy for flow accumulation and wetness patterns linked to groundwater potential.","Single-source candidate from current batch.","medium"
"NEW_urban_area_fraction","urban_area_fraction","1","groundwater_stress","driver","Fraction/trend of urban impervious area associated with recharge suppression and groundwater stress.","Potential overlap with NEW_builtup_area; evaluate in alias pass.","high"
"NEW_canal_seepage_loss","canal_seepage_loss","1","irrigation_challenges","driver","Canal conveyance seepage losses reducing irrigation reliability and contributing to waterlogging/salinity pathways.","Single-source candidate from current batch.","medium"
"NEW_crop_water_requirement","crop_water_requirement","1","irrigation_challenges","context","Crop-specific water requirement/intensity influencing irrigation demand and crop-mix shifts under scarcity.","Single-source candidate from current batch.","high"
"NEW_electricity_subsidy_intensity","electricity_subsidy_intensity","1","groundwater_stress","driver","Intensity of power subsidy for agricultural pumping influencing groundwater extraction incentives.","Single-source candidate from current batch.","high"
"NEW_energy_cost_pumping","energy_cost_pumping","1","drought","outcome","Energy use/cost intensity for groundwater pumping under rainfall deficit conditions.","Single-source candidate from current batch.","medium"
"NEW_fertilizer_use_intensity","fertilizer_use_intensity","1","irrigation_challenges","driver","Chemical fertilizer application intensity influencing nutrient leaching and water quality stress.","Potential overlap with NEW_fertilizer_consumption; evaluate in alias pass.","medium"
"NEW_irrigation_water_supply_reliability","irrigation_water_supply_reliability","1","irrigation_challenges","driver","Reliability or adequacy index of irrigation water supply relative to demand.","Single-source candidate from current batch.","high"
"NEW_micro_irrigation_adoption","micro_irrigation_adoption","2","irrigation_challenges|rainfed_risk","driver|outcome","Adoption share of drip/sprinkler systems as a water-saving adaptation and irrigation-efficiency mechanism.","Merged repeated mentions with different causal roles; role remains context-dependent in evidence layer.","high"
"NEW_non_agricultural_water_demand","non_agricultural_water_demand","1","irrigation_challenges","driver","Industrial/domestic/commercial water demand competing with irrigation allocation.","Single-source candidate from current batch.","high"
